Features	Feature IDs	female (std)	male (std)	female (mean)	male (mean)
k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__	1945397	0.000524968638558	0.000170877398592	0.000186467032827	7.11606080937e-05
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Veillonellaceae,g__Succiniclasticum,s__	165118	0.00226174393587	0.00192593218704	0.000574246504692	0.000527272553665
k__Bacteria,p__Proteobacteria,c__Deltaproteobacteria,o__MIZ46,f__,g__,s__	3195723	0.000201392102267	0.000135311699268	0.000119909049801	7.41566118043e-05
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Pseudomonadales,f__Pseudomonadaceae,g__Pseudomonas,s__	197929	0.000778968624772	0.00262989306889	0.000123758467848	0.000325277275672
k__Bacteria,p__Cyanobacteria,c__Chloroplast,o__Streptophyta,f__,g__,s__	311947	0.000248621282289	0.000672049704321	7.59487849206e-05	0.000177844306746
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__,s__	317677	0.000130997077908	0.000193233304824	8.9805564094e-05	0.000100447547453
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium,s__perfringens	4442459	0.000368022709201	0.0018504459678	0.000135420005108	0.000261483108694
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__,s__	181174	0.000136943612294	0.000120671313781	0.000111157905729	8.69620010909e-05
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__copri	152450	0.000220357304766	0.000738995620924	9.42298521955e-05	0.000134430753123
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__,s__	175844	0.000603897461895	0.000938196111935	0.000184026434754	0.000221172240517
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Lachnospiraceae,g__,s__	194597	0.00231285485674	0.00237954861018	0.000609583552259	0.000321026902522
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Hyphomicrobium,s__	4435400	0.000316031419175	0.000226577233011	0.000121721697836	9.76300630671e-05
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__,s__	179744	0.000986142324177	0.000629360317983	0.000218193620503	0.000182468945926
k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Alcaligenaceae,g__Sutterella,s__	197080	0.00010223460268	0.000190493566798	8.12647934725e-05	0.00010964056698
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__,s__	195651	0.000146454562425	0.000189617779929	0.000126113364661	0.000149748622362
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus,s__bromii	178773	0.00148078949906	0.000600393324334	0.000229298373117	0.00019326103448
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__,s__	4402605	0.00172417681169	0.000963327072127	0.000346353231429	0.000165223559539
