Features	Feature IDs	female (std)	male (std)	female (mean)	male (mean)
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	183438	2.85845825082e-06	2.64248747222e-06	1.85676816133e-07	1.74240464037e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	317924	1.63529393901e-06	2.38139218859e-06	1.06223756093e-07	1.57024350865e-07
Bacteria,Firmicutes,Clostridia,Clostridiales	317923	3.36182013439e-05	1.36382015241e-05	7.42034270769e-06	2.44714103659e-06
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,HTCC2188,HTCC	91272	0.0	2.98393788052e-06	0.0	1.96755037224e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	323271	0.0	2.55786033612e-06	0.0	1.68660315931e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	308278	4.26889214916e-06	2.16210711695e-06	4.7468140224e-07	1.90680195044e-07
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter	3384487	0.0	5.47878521003e-06	0.0	4.98140044666e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira	182456	2.8431728765e-05	1.70158348491e-05	5.1715130487e-06	3.89690081803e-06
Bacteria,Firmicutes,Clostridia,Clostridiales	271880	2.7737586517e-06	0.0	1.80174985946e-07	0.0
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia	558281	0.000183848344011	0.000184895232925	4.53331707585e-05	3.83147899998e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	694337	0.0	3.30826914826e-06	0.0	2.1814080771e-07
Bacteria,Firmicutes,Clostridia,Clostridiales	573916	1.63529393901e-06	0.0	1.06223756093e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira	452014	2.29018735865e-06	2.44306929808e-06	1.48763655016e-07	1.6109121903e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillospira	306315	0.000144548857221	8.6683336515e-05	3.6727601023e-05	2.46269001102e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	296558	3.68612102563e-06	0.0	2.39439290647e-07	0.0
