Features	Feature IDs	Omnivore (mean)	Veggie (std)	Omnivore (std)	Veggie (mean)
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	183071	1.32185264801e-05	4.91679786599e-05	4.17214103952e-05	1.67825182949e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii	523768	1.76535705773e-05	5.30103005069e-05	9.24774112656e-05	2.24316960346e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	180528	0.0	1.39036821459e-06	0.0	7.83383741466e-08
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	163494	0.000134353854472	0.000309530563976	0.000313156695043	0.000156067671206
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Janthinobacterium,lividum	252101	2.55321728614e-08	0.0	9.37441314284e-07	0.0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,acidifaciens	304047	3.01332193926e-06	2.99144894726e-05	1.93540105719e-05	6.49777434342e-06
Bacteria,Firmicutes,Clostridia,Clostridiales	301033	3.32227249668e-05	7.78273118944e-05	0.000111119277032	2.51343540543e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	571642	0.000140765385794	0.000305756106652	0.000345779773501	0.000132721456838
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella	196997	1.31154335208e-08	8.05214393803e-07	6.672134408e-07	4.53686913927e-08
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	194287	0.000421231640756	0.000780979149274	0.000767729820027	0.000453022048004
Bacteria,Firmicutes,Clostridia,Clostridiales	198332	1.71773446156e-07	2.45799146351e-05	3.42900071896e-06	2.9093176017e-06
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	190107	2.52386405059e-05	7.23430448437e-05	6.70900333337e-05	3.54177642293e-05
