Features	Feature IDs	Omnivore (mean)	Vegan (std)	Omnivore (std)	Vegan (mean)
k__Bacteria,p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Cetobacterium,s__somerae	304123	0.0	4.08884146482e-06	0.0	5.27867163284e-07
k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__H39,f__,g__,s__	4301511	0.000978000827839	0.00164360581881	0.00214697212886	0.00139292256358
k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__zeae	2386814	1.73610894097e-08	0.0	8.83200100304e-07	0.0
k__Bacteria,p__Actinobacteria,c__Acidimicrobiia,o__Acidimicrobiales,f__,g__,s__	346253	4.75797445418e-06	5.02892132872e-05	2.62860490115e-05	1.90879171952e-05
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,g__,s__	352347	0.0265485963506	0.0325562794309	0.042005843535	0.0314568647809
k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__,s__	269068	1.29692269555e-08	3.63244637941e-06	6.5977556348e-07	4.68946811115e-07
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__	3392840	3.33973648823e-05	0.000208727965562	0.000159529597554	9.79261044871e-05
k__Bacteria,p__Bacteroidetes,c__Flavobacteriia,o__Flavobacteriales,f__Flavobacteriaceae,g__Flavobacterium,s__	349052	1.73759286152e-08	0.0	8.83955006143e-07	0.0
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Devosia,s__	187883	6.12948394877e-05	0.000115965614852	0.000126551468583	7.49056997013e-05
k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,g__,s__	278931	0.0	4.08884146482e-06	0.0	5.27867163284e-07
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Novosphingobium,s__	353195	1.73681153464e-08	0.0	8.83557526488e-07	0.0
k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Xanthomonadales,f__Xanthomonadaceae,g__Stenotrophomonas,s__	350189	3.64244084659e-05	0.000333256805046	0.000133269629337	0.000110031844976
k__Bacteria,p__Bacteroidetes,c__Bacteroidia,o__Bacteroidales,f__Rikenellaceae,g__,s__	1614788	6.07509505015e-05	0.000135699621166	0.000147504162405	8.39160786156e-05
k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodospirillales,f__Acetobacteraceae,g__,s__	959009	1.73681153464e-08	0.0	8.83557526488e-07	0.0
k__Bacteria,p__Proteobacteria,c__Betaproteobacteria,o__Burkholderiales,f__Oxalobacteraceae,g__,s__	979102	2.11783873983e-08	0.0	8.44866711861e-07	0.0
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__,g__,s__	317677	0.000110944029947	0.000570923747725	0.000452203918625	0.000275116925921
k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Ruminococcaceae,g__Ruminococcus,s__	193887	4.5055352741e-06	5.51699218931e-05	2.74627035668e-05	1.72523434464e-05
