Features	Feature IDs	female (std)	male (std)	female (mean)	male (mean)
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae	141764	2.47452378568e-06	0.0	1.60737592665e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia	4414044	0.000102448608149	9.59675692709e-05	5.00966921823e-05	6.13513871897e-05
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae	4426851	2.9057118619e-06	0.0	1.88746268014e-07	0.0
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter	635303	0.0	2.94644112949e-06	0.0	1.94282574679e-07
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales	295171	0.0	2.70030852824e-06	0.0	1.78053071567e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia	518613	4.39226419035e-05	5.17215715787e-05	1.56661972364e-05	2.04146190824e-05
Bacteria,Firmicutes,Clostridia,Clostridiales	29205	4.55050558081e-06	0.0	5.10777576185e-07	0.0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Paraprevotellaceae,Prevotella	4459265	1.94427400156e-06	1.7328072542e-06	1.26294167912e-07	1.14257926758e-07
Bacteria,Firmicutes,Clostridia,Clostridiales	273431	3.61730603173e-06	0.0	3.96103968279e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira	3424188	0.0128167469227	0.0337299438551	0.00420084393754	0.00588675278414
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	336149	2.12783485502e-06	0.0	1.38217726645e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales	199215	1.28713991733e-05	1.80726704271e-05	2.5520565011e-06	5.0023799842e-06
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales	3253723	0.0	2.68957809288e-06	0.0	1.77345527612e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia	185840	0.0	2.96210382486e-06	0.0	2.67649236726e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	184339	2.82725902763e-05	3.58321260685e-05	9.285445511e-06	1.17440013822e-05
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,stutzeri	38888	0.0	2.31382960623e-06	0.0	1.52569406111e-07
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	4426266	2.17941301648e-05	2.47886287892e-05	7.00473808818e-06	8.55339939195e-06
