Features	Feature IDs	Omnivore (mean)	Vegan (std)	Omnivore (std)	Vegan (mean)
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii	339494	8.92979879752e-09	0.0	4.54280201405e-07	0.0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae	180133	1.26034861372e-06	8.24419465353e-06	1.13951517632e-05	1.50459158749e-06
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella	763967	1.45798549444e-08	0.0	7.41712057661e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus	189459	8.07867819806e-08	0.0	2.38433850898e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus	588414	8.14609663869e-08	0.0	1.93111245961e-06	0.0
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,stutzeri	4448012	1.80862294993e-08	0.0	9.20089709288e-07	0.0
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium	4384799	1.97914284273e-08	0.0	1.0068372531e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,prausnitzii	132991	1.82554833722e-08	0.0	9.28700058208e-07	0.0
Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planomicrobium	816862	1.2129809289e-08	0.0	6.17072381106e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus	311693	2.10862257513e-08	0.0	8.47836123574e-07	0.0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinomyces	4421228	1.83212938615e-08	0.0	9.32047995046e-07	0.0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	160830	6.36744590855e-08	0.0	2.33991333418e-06	0.0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides	2550809	5.19180993085e-06	3.47016895208e-05	2.8797486509e-05	6.76360223154e-06
Bacteria,Proteobacteria,Betaproteobacteria	4470706	1.88760159691e-05	0.000323530167792	0.000103852708347	5.56782734406e-05
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	260322	1.99829022292e-08	0.0	1.0165779829e-06	0.0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales	772543	2.69092362518e-08	0.0	9.70052076494e-07	0.0
Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium	1003344	1.27239925283e-08	0.0	6.47299902212e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales	188127	0.000105646112938	0.000332078323264	0.000237022650569	0.0002109738198
Bacteria,Cyanobacteria,Nostocophycideae,Nostocales,Nostocaceae	913278	1.17658558909e-08	0.0	5.98557202131e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus	319521	2.48388113854e-08	0.0	9.05256107439e-07	0.0
Bacteria,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae	169222	1.23064269798e-08	0.0	6.26057345044e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae	4478391	1.19845330972e-08	0.0	6.09681834111e-07	0.0
Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia	4335447	3.50018784175e-08	0.0	1.25897392049e-06	0.0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella	308972	3.85132632554e-08	0.0	1.95926172416e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	4450759	0.0	2.43285871312e-05	0.0	3.1408070932e-06
Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus	301363	1.27977706898e-08	0.0	6.51053173571e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium	53929	1.80913122805e-08	0.0	9.20348282509e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea	298557	3.64303308069e-07	2.05752481749e-05	5.46084137325e-06	5.4438399614e-06
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	191214	1.48033695074e-08	0.0	7.5308277754e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales	273651	1.5886542886e-08	0.0	8.08186395408e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	299008	3.30917126586e-08	0.0	1.19738319321e-06	0.0
Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales	704835	2.83236428238e-08	0.0	1.44089138605e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales	180307	6.81834071003e-05	0.000193651150573	0.000218471591621	7.04401765278e-05
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae	1116348	1.91297863993e-08	0.0	9.7317794223e-07	0.0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,RF16	308507	2.23433514889e-08	0.0	1.13665967673e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales	2386814	1.73610894097e-08	0.0	8.83200100304e-07	0.0
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,johnsonii	311867	1.97894004093e-08	0.0	1.00673408298e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus	177172	1.79684367877e-08	0.0	9.14097312596e-07	0.0
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae	358670	4.09032634955e-08	0.0	2.08084674696e-06	0.0
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia,marcescens	4343005	1.61942693048e-08	0.0	8.23841173601e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	4113009	7.62901730605e-09	0.0	3.88106338888e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales	355625	2.35166877622e-08	0.0	8.46414294036e-07	0.0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces	355626	0.0	8.60785388635e-06	0.0	1.11126915828e-06
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella	213877	1.39078977696e-07	5.50520508677e-06	2.90702365311e-06	7.10718920617e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	762699	8.65726705434e-06	5.43060840896e-05	4.47473757029e-05	1.5125186637e-05
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae	3478707	7.11259584178e-09	0.0	3.6183474508e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	634450	1.12651884734e-08	0.0	5.73087054323e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus	199137	2.09003824133e-08	0.0	1.06325239207e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	4315788	5.60493284107e-06	0.000256516513174	6.63333766494e-05	4.94468920127e-05
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax	4315250	8.53743913003e-08	0.0	2.58431497335e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	196713	7.50603170981e-08	0.0	1.74165895254e-06	0.0
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales	368334	1.91297863993e-08	0.0	9.7317794223e-07	0.0
Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Thiotrichaceae,Thiothrix	731149	2.2401665537e-08	0.0	1.13962625169e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae	536185	7.62901730605e-09	0.0	3.88106338888e-07	0.0
Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium	722376	0.00012345357962	0.00280845443133	0.000904812888111	0.000659516626211
Bacteria,Firmicutes,Clostridia,Clostridiales	297180	4.75894103775e-08	0.0	1.27298823819e-06	0.0
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus	4399761	4.68314862846e-08	0.0	1.68452156877e-06	0.0
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae	905537	1.76959507577e-08	0.0	9.0023529718e-07	0.0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae	147906	2.41995813037e-08	0.0	1.23109052262e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	265265	3.23554859674e-08	0.0	1.22087745656e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus	4428676	0.000284424576334	0.000437867283126	0.00330545471948	0.000275216623655
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter	234866	1.80862294993e-08	0.0	9.20089709288e-07	0.0
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Methylibium	226906	0.0	1.16723100038e-05	0.0	1.50688874188e-06
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Erwinia	138826	8.18208936938e-07	8.60785388635e-06	3.55952952055e-05	1.11126915828e-06
Bacteria,Cyanobacteria,4C0d-2,YS2	206256	1.30494110338e-08	0.0	6.63854719131e-07	0.0
Bacteria,Proteobacteria,Gammaproteobacteria	1110773	1.98056362008e-08	0.0	1.00756003649e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium	180403	3.3703433264e-08	0.0	1.01034259556e-06	0.0
Bacteria,Acidobacteria,Solibacteres,Solibacterales	241718	7.5436412091e-09	0.0	3.83763052841e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales	177032	9.79962968415e-05	0.00097776668415	0.000415704480547	0.000259194298434
Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae	904345	2.15348749547e-08	0.0	1.09553054369e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales	362371	3.0886430641e-06	2.3325345502e-05	2.94229212128e-05	4.09633964228e-06
Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus	179573	1.31731936185e-06	2.26800716133e-05	1.40560959399e-05	3.51873503363e-06
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	2949004	1.12360227248e-08	0.0	5.71603323003e-07	0.0
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae	322223	8.30956242122e-08	4.3112331273e-06	1.80571736312e-06	5.56577803455e-07
Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales	267607	1.61597153873e-08	0.0	8.22083333259e-07	0.0
Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Slackia	1147637	1.9735304764e-08	0.0	1.00398210825e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae	311761	2.34948327588e-08	0.0	8.4837130317e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales	305494	9.8567766145e-08	0.0	2.10597720292e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales	341766	2.23046438291e-08	0.0	1.13469052559e-06	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae	303797	1.27163653521e-06	1.65152881583e-05	9.97320898244e-06	3.74488891386e-06
Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Flectobacillus	659078	7.59287433041e-09	0.0	3.86267659358e-07	0.0
Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea	196508	5.32294268699e-07	1.44035721179e-05	7.87377397144e-06	2.29046932321e-06
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,yabuuchiae	4477254	1.61961686671e-06	1.13629947944e-05	2.93212802766e-05	2.08759234469e-06
Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae	559954	1.47761865795e-08	0.0	7.51699917045e-07	0.0
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus	567960	1.09911079958e-08	5.30710329466e-06	5.59143925547e-07	6.85144089228e-07
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium	520369	3.74181864447e-08	1.83767091941e-05	1.35590748599e-06	2.37242295556e-06
Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,caccae	2599837	1.08629526001e-05	0.000142128592917	4.56197723848e-05	3.18160374805e-05
Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales	4348946	1.72640914132e-08	0.0	8.78265580457e-07	0.0
